offer_name,offer_id,completed,incomplete,completion_rate,incompletion_rate,reward,difficulty,duration,offer_type,web,email,social,mobile
info000003,5a8bc65990b245e5a138643cd4eb9837,5674,646,0.8977848101265823,0.1022006718020999,0,0,3,informational,0,1,1,1
disc021010,fafdcd668e3743c1bb461111dcafc2a4,4033,2299,0.636923562855338,0.36303991966533605,2,10,10,discount,1,1,1,1
disc030707,2298d6c36e964ae4a3e7e9706d1fb8c2,3820,2505,0.6039525691699604,0.39600961722913175,3,7,7,discount,1,1,1,1
info000004,3f207df678b143eea3cee63160fa8bed,3635,2696,0.574158900647607,0.42580248329083886,0,0,4,informational,1,1,0,1
bogo050505,f19421c1d4aa40978ebb69ca19b0e20d,3129,3133,0.4996806132226126,0.5002794666319595,5,5,5,bogo,1,1,1,1
bogo101005,4d5c57ea9a6940dd891ad53e9dbe8da0,2436,3894,0.3848341232227488,0.6151284798690017,10,10,5,bogo,1,1,1,1
bogo101007,ae264e3637204a6fb9bb56bc8210ddfd,2314,4060,0.3630373391904613,0.6369263840508744,10,10,7,bogo,0,1,1,1
bogo050507,9b98b8c7a33c4b65b9aebfe6a799e6d9,1922,4433,0.3024390243902439,0.6975277797606301,5,5,7,bogo,1,1,0,1
disc021007,2906b810c7d4411798c6938adc9daaa5,1891,4394,0.3008750994431185,0.6990914336985468,2,10,7,discount,1,1,0,1
disc052010,0b1e1539f2cc45b7b9fa7c272da2e1d7,1207,5167,0.18936303733919047,0.810612880433457,5,20,10,discount,1,1,0,0
